Valuation ($B),Country,Industry,Investor 1,Investor 2,Investor 3,Investor 4,Days Since Joined
140.0,8,1,460,494,487,7,2687
127.0,45,14,211,179,451,9,4275
100.0,8,6,527,506,479,9,2235
95.0,45,8,307,362,611,9,3857
40.0,1,12,460,94,348,9,2411
40.0,44,8,527,307,143,9,1932
39.0,45,15,307,334,123,9,3516
38.0,45,5,42,401,65,9,2018
33.0,44,8,592,165,446,9,2303
31.5,45,14,517,326,493,9,2120
27.0,45,6,483,49,535,9,4453
25.0,45,8,206,156,251,9,1990
22.0,19,7,517,355,471,9,2578
20.0,8,6,220,637,538,9,3059
20.0,20,15,256,104,470,9,1226
17.5,45,12,14,40,533,9,953
15.5,8,7,517,616,264,9,2633
15.0,8,9,16,505,0,9,3492
15.0,45,12,74,266,539,9,2309
15.0,45,15,14,531,40,9,1407
15.0,8,3,460,360,214,9,1628
15.0,45,8,268,607,330,9,1700
14.0,44,8,329,258,318,9,1275
13.5,45,8,371,536,273,9,2074
13.3,45,12,42,571,502,9,1122
13.0,17,5,14,12,0,9,2242
13.0,45,12,227,311,89,9,1771
12.6,45,10,42,200,573,9,2130
12.59,45,1,307,215,469,9,1751
12.3,45,8,156,474,233,9,2141
12.0,45,3,527,0,0,9,2430
12.0,8,9,136,506,264,9,2232
12.0,45,10,557,298,0,9,2201
12.0,45,12,371,65,147,9,1037
12.0,8,6,302,565,470,9,1485
12.0,45,8,42,537,604,9,1212
11.8,42,15,527,505,442,9,1238
11.7,45,12,112,114,196,9,2100
11.4,8,2,318,344,430,9,1169
11.25,45,12,277,631,311,9,1472
11.1,44,9,56,198,293,9,2793
11.0,45,8,20,585,216,9,1042
10.2,45,8,153,146,18,9,1022
10.88,8,3,517,280,607,9,1195
10.7,19,15,15,484,388,9,2247
10.0,18,15,352,512,602,9,2002
10.0,45,12,273,266,311,9,1568
10.0,45,8,228,258,311,9,3163
10.0,8,6,460,239,0,9,3078
10.0,45,12,579,505,120,9,2572
10.0,45,12,154,498,510,9,2143
10.0,45,12,273,175,180,9,1597
10.0,45,6,543,476,20,9,1492
10.0,45,8,442,640,500,9,1018
10.0,34,8,268,376,298,9,828
9.5,45,12,302,183,386,9,2263
9.5,45,12,78,293,65,9,2101
9.28,8,14,460,566,50,9,1872
9.23,17,8,433,184,568,9,2044
9.2,45,12,499,19,44,9,1367
9.08,39,14,551,613,226,9,1891
9.0,45,4,42,411,528,9,3425
9.0,45,13,380,257,415,8,2456
9.0,19,16,483,507,328,9,2151
8.75,44,8,512,246,153,9,1717
8.7,28,6,156,526,370,9,1414
8.6,45,4,62,258,15,9,1668
8.6,45,2,483,266,214,9,2012
